mashtest-26-11-2015-2015-11-27 BeerTemp=73.38,BeerSet=73.66,BeerAnn="null",FridgeTemp=75.25,FridgeSet=75.2,FridgeAnn="null",RoomTemp=74.31,State=3.0 1445900721000000000
mashtest-26-11-2015-2015-11-27 BeerTemp=73.38,BeerSet=73.69,BeerAnn="null",FridgeTemp=75.25,FridgeSet=75.25,FridgeAnn="null",RoomTemp=74.31,State=3.0 1445900732000000000
mashtest-26-11-2015-2015-11-27 BeerTemp=73.44,BeerSet=73.72,BeerAnn="null",FridgeTemp=75.31,FridgeSet=75.27,FridgeAnn="null",RoomTemp=74.38,State=3.0 1445900743000000000
mashtest-26-11-2015-2015-11-27 BeerTemp=73.44,BeerSet=73.75,BeerAnn="null",FridgeTemp=75.38,FridgeSet=75.3,FridgeAnn="null",RoomTemp=74.44,State=3.0 1445900754000000000
mashtest-26-11-2015-2015-11-27 BeerTemp=73.5,BeerSet=73.78,BeerAnn="null",FridgeTemp=75.38,FridgeSet=75.34,FridgeAnn="null",RoomTemp=74.44,State=3.0 1445900764000000000
mashtest-26-11-2015-2015-11-27 BeerTemp=73.5,BeerSet=73.81,BeerAnn="null",FridgeTemp=75.38,FridgeSet=75.36,FridgeAnn="null",RoomTemp=74.44,State=3.0 1445900775000000000
mashtest-26-11-2015-2015-11-27 BeerTemp=73.5,BeerSet=73.85,BeerAnn="null",FridgeTemp=75.44,FridgeSet=75.4,FridgeAnn="null",RoomTemp=74.5,State=3.0 1445900786000000000
mashtest-26-11-2015-2015-11-27 BeerTemp=73.56,BeerSet=73.88,BeerAnn="null",FridgeTemp=75.44,FridgeSet=75.45,FridgeAnn="null",RoomTemp=74.5,State=3.0 1445900797000000000
mashtest-26-11-2015-2015-11-27 BeerTemp=73.63,BeerSet=73.91,BeerAnn="null",FridgeTemp=75.5,FridgeSet=75.48,FridgeAnn="null",RoomTemp=74.56,State=3.0 1445900808000000000
mashtest-26-11-2015-2015-11-27 BeerTemp=73.63,BeerSet=73.94,BeerAnn="null",FridgeTemp=75.5,FridgeSet=75.51,FridgeAnn="null",RoomTemp=74.56,State=3.0 1445900819000000000
mashtest-26-11-2015-2015-11-27 BeerTemp=73.63,BeerSet=73.97,BeerAnn="null",FridgeTemp=75.56,FridgeSet=75.53,FridgeAnn="null",RoomTemp=74.63,State=3.0 1445900830000000000
mashtest-26-11-2015-2015-11-27 BeerTemp=73.69,BeerSet=74.0,BeerAnn="null",FridgeTemp=75.56,FridgeSet=75.56,FridgeAnn="null",RoomTemp=74.69,State=3.0 1445900841000000000
mashtest-26-11-2015-2015-11-27 BeerTemp=73.69,BeerSet=74.03,BeerAnn="null",FridgeTemp=75.63,FridgeSet=75.59,FridgeAnn="null",RoomTemp=74.69,State=3.0 1445900851000000000
